Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Pytanie ENG,Odpowiedź ENG A,Odpowiedź ENG B,Odpowiedź ENG C,Pytanie DE,Odpowiedź DE A,Odpowiedź DE B,Odpowiedź DE C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa bloku,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Nazwa media tłumaczenie migowe (SJM) treść pyt,Nazwa media tłumaczenie migowe (SJM) treść odp A,Nazwa media tłumaczenie migowe (SJM) treść odp B,Nazwa media tłumaczenie migowe (SJM) treść odp C
10991,"W którym przypadku nie ma obowiązku przewożenia dziecka w foteliku bezpieczeństwa lub innym urządzeniu podtrzymującym, zapewniającym jego bezpieczeństwo?",Po ukończeniu 15 roku życia.,Po osiągnięciu wzrostu co najmniej 150 cm.,Po osiągnięciu wzrostu co najmniej 135 cm.,Under what circumstances is there no obligation to carry the child in a safety seat or other restraint system to ensure the child's safety?,Upon reaching the age of 15.,After reaching a height of at least 150 cm.,After reaching a height of at least 135 cm.,In welchem Fall besteht keine Transportpflicht eines Kindes in einem Kindersitz bzw. in einem das Kind festhaltenden Gerät für seine Sicherheit?,Nach dem Abschluss des 15. Lebensjahres.,Nach dem Erreichen der Mindestkörpergröße 150 cm.,Nach dem Erreichen der Mindestkörpergröße 135 cm.,B,,SPECJALISTYCZNY,2,"B,C",C7,,,,,,,,
10992,"W jakim przypadku możesz przewozić trzecie dziecko, o wzroście poniżej 135 cm, na tylnym siedzeniu samochodu osobowego lub ciężarowego, przytrzymywane jedynie pasami bezpieczeństwa?","Jeżeli dwoje dzieci przewożonych jest w fotelikach bezpieczeństwa i nie ma możliwości zainstalowania trzeciego fotelika, a trzecie dziecko ma ukończone 3 lata.","Tylko, jeżeli trzecie dziecko ma wzrost co najmniej 100 cm wzrostu.","Tylko, jeżeli trzecie dziecko ukończyło 15 lat.","Under what circumstances can you carry a third child, under 135 cm in height, in the rear seat of a car or truck, restrained only by seat belts?",If two children are transported in safety seats and it is impossible to install a third seat and the third child is over 3 years old.,Only if the third child is at least 100 cm tall.,Only if the third child is 15 years old.,In welchem Fall dürfen Sie das dritte Kind mit der Körpergröße unterhalb von 135 cm auf dem Rücksitz eines PkWs bzw. LkWs nur mit Absicherung der Sicherheitsgurte transportieren?,Falls zwei Kinder in Kindersitzen transportiert werden und keine Montagemöglichkeit eines dritten Kindersitzes besteht und das Kind 3 Jahre abgeschlossen hat.,Nur wenn das dritte Kind wenigstens 100 cm groß ist.,Nur wenn das dritte Kind sein 15 Lebensjahr abgeschlossen hat.,A,,SPECJALISTYCZNY,2,"B,C",C7,,,,,,,,
10993,"W jakim przypadku możesz przewozić dziecko na tylnym siedzeniu samochodem osobowym lub ciężarowym o dopuszczalnej masie całkowitej do 3,5 t, przytrzymywane  jedynie pasami bezpieczeństwa?",Jeżeli dziecko ma co najmniej 135 cm wzrostu i ze względu na masę nie jest możliwe zapewnienie fotelika bezpieczeństwa lub innego urządzenia podtrzymującego dziecko.,Jeżeli dziecko ma co najmniej 120 cm wzrostu i ze względu na masę nie jest możliwe zapewnienie fotelika bezpieczeństwa lub innego urządzenia podtrzymującego dziecko.,Jeżeli dziecko ukończyło 15 lat.,"Under what circumstances can you carry a child in the rear seat of a car or truck with a maximum permissible weight of 3.5 t, restrained only by seat belts?","If the child is at least 135 cm tall and due to its weight, it is impossible to provide a safety seat or other child restraint system.","If the child is at least 120 cm tall and due to its weight, it is impossible to provide a safety seat or other child restraint system.",If the child is 15 years old.,"In welchem Fall dürfen Sie das dritte Kind auf dem Rücksitz eines PkWs bzw. LkWs mit dem zulässigen Gesamtgewicht 3,5 t nur mit Absicherung der Sicherheitsgurte transportieren?",Wenn das Kind wenigstens 135 cm groß ist und wegen des Gewichts keine Verwendung eines Kindersitzes bzw. eines anderen das Kind festhaltenden Geräts möglich ist.,Wenn das Kind wenigstens 120 cm groß ist und wegen des Gewichts keine Verwendung eines Kindersitzes bzw. eines anderen das Kind festhaltenden Geräts möglich ist.,Wenn das Kind sein 15 Lebensjahr abgeschlossen hat.,A,,SPECJALISTYCZNY,2,"B,C",C7,,,,,,,,
10994,"Kiedy wolno przewozić samochodem ciężarowym, na przednim siedzeniu, dziecko mające poniżej 150 cm wzrostu, przytrzymywane jedynie za pomocą pasów bezpieczeństwa?",Jeżeli dziecko ma co najmniej 135 cm wzrostu.,Jeżeli w samochodzie tym nie ma możliwości zamontowania fotelika bezpieczeństwa.,Jeżeli dziecko ma zaświadczenie lekarskie o przeciwwskazaniu do przewożenia w foteliku bezpieczeństwa.,"When is it permitted to carry a child under 150 cm tall in the front seat of a lorry, only restrained by means of seat belts?",If the child is at least 135 cm tall.,If it is impossible to fit a safety seat in the vehicle.,If the child has a medical certificate indicating that it is cannot be transported in a safety seat.,"Wann ist es erlaubt, auf dem Vordersitz eines LkWs ein Kind unterhalb von 150 cm Körpergröße nur mit Absicherung der Sicherheitsgurte zu transportieren?",Falls das Kind wenigstens 135 cm groß ist.,Falls im Fahrzeug keine Montagemöglichkeit eines Kindersitzes besteht.,"Falls das Kind ein ärztliches Attest besitzt, welches den Transport im Kindersitz verbietet.",C,,SPECJALISTYCZNY,2,"B,C",C7,,,,,,,,
10996,"Jakie dokumenty ma obowiązek mieć przy sobie kierujący samochodem ciężarowym o dopuszczalnej masie całkowitej powyżej 3,5 t, zarejestrowanym w Polsce?",Krajowe prawo jazdy.,"Protokół z ostatniej kontroli technicznej pojazdu, którym wykonywany jest zarobkowy przewóz rzeczy,  jeżeli była ona przeprowadzona.",Dowód rejestracyjny pojazdu.,What documents does the driver of a truck registered in Poland with a maximum permissible weight of over 3.5 t have to carry?,National driving licence.,"Record of the most recent technical inspection of the vehicle used for the commercial carriage of goods, if any was carried out.",Vehicle registration document.,"Welche Dokumente soll bei sich der Fahrer eines in Polen zugelassenen LkWs über 3,5 t haben?",Den staatlichen Führerschein.,"Das Protokoll der letzten technischen Untersuchung des für die entgeltliche Warenbeförderung gebrauchten Fahrzeugs, soweit diese durchgeführt wurde.",Den Fahrzeugschein.,B,,SPECJALISTYCZNY,2,C,C7,,,,,,,,
10997,Który z wymienionych dokumentów kierujący pojazdem zarejestrowanym na terytorium RP jest zobowiązany przy sobie mieć i okazywać na żądanie uprawnionego organu?,Krajowe prawo jazdy.,Dowód rejestracyjny pojazdu.,"Dokument inny niż wydane w kraju prawo jazdy, który stwierdza uprawnienia do kierowania pojazdem.",Which of these mentioned documents is the driver of a vehicle registered in the territory of the Republic of Poland obliged to carry and present at the request of a competent authority?,National driving licence,Vehicle registration document,A document other than a national driving licence which certifies the authorisation to drive the vehicle.,Welche der genannten Dokumente soll der Fahrer eines auf dem Territorium der Republik Polen zugelassenen Fahrzeugs bei sich haben und auf Verlangen des berechtigten Organs vorzeigen?,Den Staatlichen Führerschein.,Den Fahrzeugschein.,"Ein anderweitiges Dokument, welches die Fahrerlaubnis für das Fahrzeug feststellt, anders als der staatliche Führerschein.",C,,SPECJALISTYCZNY,2,"A,B,C,D",C7,,,,,,,,
10998,"Który z wymienionych dokumentów musisz mieć przy sobie i okazywać na żądanie uprawnionego organu, gdy kierujesz pojazdem uprzywilejowanym - samochodem ciężarowym o dopuszczalnej masie całkowitej powyżej 3,5 t?",Dowód rejestracyjny pojazdu.,Prawo jazdy.,Zezwolenie na kierowanie  pojazdem uprzywilejowanym w zakresie określonej kategorii.,Which of the following documents must you carry with you and present at the request of a competent authority when driving a privileged vehicle - a lorry with a maximum permissible weight of over 3.5 tonnes?,The vehicle registration document.,A driving licence.,A permit to drive a priority vehicle in a particular category.,"Welches der genannten Dokumente sollen Sie bei sich haben und auf Verlangen eines berechtigten Organs vorzeigen, wenn Sie einen Blaulichtwagen mit dem zulässigen Gesamtgewicht über 3,5 t führen?",Den Fahrzeugschein.,Den Führerschein.,Eine temporäre Fahrerlaubnis für einen Blaulichtwagen in der genannten Kategorie.,C,,SPECJALISTYCZNY,2,C,C7,,,,,,,,
10999,"Który z wymienionych dokumentów musisz mieć przy sobie i okazywać na żądanie uprawnionego organu, gdy wykonujesz zarobkowy transport rzeczy samochodem ciężarowym o dopuszczalnej masie całkowitej powyżej 12 t?",Krajowe prawo jazdy.,Potwierdzenie zawarcia przez właściciela pojazdu umowy  obowiązkowego ubezpieczenia OC lub dowód opłaty składki za ubezpieczenie.,"Pokwitowanie zatrzymania dowodu rejestracyjnego pojazdu w okresie, w którym upoważnia ono do  jego używania,",Which of these documents must you carry with you and present at the request of the competent authorities if you are engaged in the commercial transport of goods by lorry with a maximum permissible weight exceeding 12 t?,National driving licence.,Confirmation that the vehicle owner has concluded a contract for compulsory third party insurance or proof of payment of insurance premium.,"Vehicle registration document receipt for the period it authorises its use,","Welches der genannten Dokumente sollen Sie bei sich haben und auf Verlangen eines berechtigten Organs vorzeigen, wenn Sie einen entgeltlichen Warentransport mit einem LkW mit dem zulässigen Gesamtgewicht über 12 t betreiben?",Den staatlichen Führerschein.,Abschlussbestätigung durch den Fahrzeugeigentümer der Haftpflichtversicherung bzw. Zahlungsbeleg eines Versicherungsbeitrags.,"Einbehaltsquittung des Fahrzeugscheins in der Frist, in der diese die Fahrzeugnutzung ermöglicht.",C,,SPECJALISTYCZNY,2,C,C7,,,,,,,,
11000,"Który z wymienionych dokumentów musisz mieć przy sobie i okazywać na żądanie uprawnionego organu, gdy wykonujesz zarobkowy przewóz rzeczy zarejestrowanym na terytorium RP samochodem ciężarowym o dopuszczalnej masie całkowitej powyżej 12 t?",Dowód rejestracyjny.,Potwierdzenie zawarcia obowiązkowego ubezpieczenia odpowiedzialności cywilnej właściciela pojazdu.,Zaświadczenie o działalności wg. rozporządzenia WE 561/2006.,Which of the following documents must you have with you and present at the request of a competent authority if you are involved in commercial transport of goods registered in the territory of the Republic of Poland by means of a truck with a maximum permissible weight exceeding 12 t?,Vehicle registration document.,Proof that the vehicle owner has taken out compulsory third-party liability insurance.,Certificate of activity in accordance with Regulation EC 561/2006.,"Welches der genannten Dokumente sollen Sie bei sich haben und auf Verlangen eines berechtigten Organs vorzeigen, wenn Sie einen entgeltlichen Warentransport  auf dem Territorium der Republik Polen mit einem LkW mit dem zulässigen Gesamtgewicht über 12 t betreiben?",Den Fahrzeugschein.,Abschlussbestätigung der Haftpflichtversicherung des Fahrzeugeigentümers.,Tätigkeitsbestätigung gemäß Verordnung EG 561/2006.,C,,SPECJALISTYCZNY,2,C,C7,,,,,,,,
11001,Który z wymienionych dokumentów kierujący pojazdem zarejestrowanym na terytorium RP musi mieć przy sobie i okazywać na żądanie uprawnionego organu?,Potwierdzenie opłacenia obowiązkowego ubezpieczenia odpowiedzialności cywilnej właściciela pojazdu.,Dowód rejestracyjny.,Jeśli kierujący ma uprawnienia do kierowania ograniczone do pojazdu wyposażonego w blokadę alkoholową - zaświadczenie o pozytywnym wyniku badania technicznego w tym zakresie.,Which of these documents must the driver of a vehicle registered in the territory of the Republic of Poland carry and present at the request of an authorised body?,Which of these documents must the driver of a vehicle registered in the territory of the Republic of Poland carry and present at the request of an authorised body?,Proof of payment of the compulsory third-party liability insurance of the vehicle owner.,"If the driver has a driving licence limited to a vehicle fitted with an alcohol interlock, a certificate of satisfactory technical examination in this regard.",Welches der genannten Dokumente sollen Sie als Fahrer eines in Polen zugelassenen Fahrzeugs bei sich haben und auf Verlangen eines berechtigten Organs vorzeigen?,Abschlussbestätigung der Haftpflichtversicherung des Fahrzeugeigentümers.,Den Fahrzeugschein.,Falls der Fahrer eine auf die mit einer Alkoholblockade ausgestatteten Fahrzeuge beschränkte Fahrerlaubnis besitzt - Bescheinigung über ein positives Ergebnis der technischen Untersuchung in dieser Hinsicht.,C,,SPECJALISTYCZNY,2,"B,C,D",C7,,,,,,,,
11002,"Który z wymienionych dokumentów musi posiadać przy sobie kierujący samochodem ciężarowym zarejestrowanym za granicą, a uczestniczący w ruchu drogowym na terenie Rzeczypospolitej Polskiej?",Świadectwo homologacji pojazdu,"Dokument potwierdzający przeprowadzenie badania technicznego niezależnie czy pojazd jest nowy, czy już po pierwszym okresowym badaniu technicznym.",Dokument potwierdzający zawarcie umowy obowiązkowego ubezpieczenia odpowiedzialności cywilnej właściciela pojazdu lub dowód opłacenia składki za to ubezpieczenie.,Which of the mentioned documents must the driver of a lorry registered abroad carry when participating in road traffic in the Republic of Poland?,Vehicle approval certificate,"A document certifying that a technical test has been carried out, regardless of whether the vehicle is new or has already undergone its first periodic inspection.",A document confirming the conclusion of a contract for compulsory civil liability insurance for the vehicle owner or proof of payment of the premium for this insurance.,"Welches der genannten Dokumente soll ein Fahrer eines im Ausland zugelassenen LkWs, der in Polen am Straßenverkehr beteiligt ist, bei sich haben und auf Verlangen eines berechtigten Organs vorzeigen?",Genehmigungsbogen des Fahrzeugs.,"Bestätigung der durchgeführten technischen Untersuchung, unabhängig davon, ob das Fahrzeug neu bzw. schon nach der ersten technischen Hauptuntersuchung ist.",Abschlussbestätigung der Haftpflichtversicherung des Fahrzeugeigentümers bzw. Zahlungsbeleg des Versicherungsbeitrags.,C,,SPECJALISTYCZNY,2,C,C7,,,,,,,,
11003,"Czy inspektor transportu drogowego podczas kontrolowania pojazdu, który wykonuje transport drogowy, ma prawo weryfikować dane o pojeździe w Centralnej Ewidencji Pojazdów?","Tak, w tym zakresie przysługują takie same prawa jak policji.","Nie, takie uprawnienia posiada tylko policja.","Nie, do weryfikacji danych o pojeździe w Centralnej Ewidencji Pojazdów uprawnione są tylko: policja, straż graniczna i służby celno-skarbowe. ","When inspecting a vehicle that performs road transport, does a road transport inspector have the right to verify the vehicle data in the Central Register of Vehicles?","Yes, they have the same rights as the police in this respect.","No, only the police have such authority.","No, only the police, border guards and customs and fiscal services are authorised to verify vehicle data in the Central Register of Vehicles.","Darf der Inspektor des Straßentransports bei der Kontrolle eines Fahrzeugs, das den Straßentransport ausführt, Daten über das Fahrzeug im Zentralen Fahrzeugregister verifizieren?","Ja, diesbezüglich besitzt er die gleichen Kompentenzen wie die Polizei.","Nein, solche Befugnisse hat nur die Polizei.","Nein, zur Verifizierung der Fahrzeugdaten im Zentralen Fahrzeugregister sind nur Polizei, Grenzschutz und die Zoll-Finanzdienste berechtigt.",A,,SPECJALISTYCZNY,2,"B,C,D",C7,,,,,,,,
11005,"Kto może zwrócić dowód rejestracyjny, w przypadku jego zatrzymania podczas kontroli ruchu drogowego, w związku ze stwierdzeniem, że pojazd zagraża porządkowi ruchu?",Jednostka upoważniona do przeprowadzania badań technicznych po przeprowadzeniu badania technicznego odpowiadającego przyczynie zatrzymania dowodu rejestracyjnego.,Straż Miejska.,Zarządca drogi.,"Who can give back the registration document if it is retained during a traffic control, on the grounds that the vehicle is a danger to traffic order?",A body authorised to carry out technical tests following a technical examination appropriate to the reason for the retention of the registration document.,The Municipal Police.,The road operator.,"Wer kann den Fahrzeugschein zurückgeben, falls dieser während einer Verkehrskontrolle einbehalten wurde, weil man feststellte, dass das Fahrzeug gegen die Verkehrsordnung verstößt?","Eine für die Durchführung der technischen Untersuchungen berechtigte Anstalt nach der Durchführung der technischen Untersuchung, die der Ursache des Einbehalts des Fahrzeugscheins entspricht.",Die Stadtpolizei.,Der Straßenbetreiber.,A,,SPECJALISTYCZNY,2,"A,B,C,D",C7,,,,,,,,
11006,Jakie dokumenty musi przy sobie mieć i okazywać na polecenie uprawnionego kontrolującego kierujący zarejestrowanym na terytorium RP samochodem ciężarowym o dopuszczalnej masie całkowitej powyżej 12 t?,Dokument stwierdzający uprawnienie do kierowania pojazdem inny niż wydane w kraju prawo jazdy.,Prawo jazdy.,Dowód rejestracyjny pojazdu.,What documents must a driver of a lorry registered in the territory of the Republic of Poland with a maximum permissible weight of more than 12 tonnes carry and present at the request of an authorised inspector?,A document certifying that the holder is authorised to drive a vehicle other than a national driving licence.,A driving licence.,Vehicle registration document.,Welches der genannten Dokumente soll ein Fahrer eines in Polen zugelassenen LkWs mit dem zulässigen Gesamtgewicht über 12t bei sich haben und auf Verlangen eines berechtigten Organs vorzeigen?,"Ein die Fahrbefugnis bestätigendes Dokument, anders als der im Inland ausgestellte Führerschein.",Der Führerschein.,Der Fahrzeugschein.,A,,SPECJALISTYCZNY,2,C,C7,,,,,,,,
11007,"Jak może zareagować kontrolujący, jeżeli nie będziesz miał przy sobie prawa jazdy?",Uniemożliwić Ci dalszą jazdę i ukaże mandatem karnym za brak wymaganych dokumentów.,Sprawdzi Twoje dane zgromadzone w Centralnej Ewidencji Kierowców.,Ukarać mandatem karnym za brak wymaganych dokumentów.,How can an controller react if you do not have your driving licence with you?,You will not be allowed to continue driving and fined for lack of required documents.,The controller will verify your data collected in the Central Driver's Register.,The controller will impose a fine for lack of the required documents.,"Wie kann der die Kontrolle durchführende Angestellte reagieren, falls Sie keinen Führerschein bei sich haben?",Er kann Ihre weitere Fahrt unterbrechen und einen Strafzettel wegen Mangels an notwendigen Dokumenten ausstellen.,Er prüft Ihre Daten im Zentralen Fahrerregister.,Er kann einen Strafzettel für den Mangel an notwendigen Dokumenten ausstellen.,B,,SPECJALISTYCZNY,2,"A,B,C,D",C7,,,,,,,,
11010,"W jaki sposób, podczas kontroli drogowej przez upoważniony organ, następuje zatrzymanie prawa jazdy wydanego w kraju?","Przez wprowadzenie informacji o zatrzymaniu do Centralnej Ewidencji Kierowców i poinformowaniu o tym fakcie, jeżeli nie posiada przy sobie dokumentu.",Przez wprowadzenie do Centralnej Ewidencji Kierowców informacji o zatrzymaniu prawa jazdy i wydaniu kierującemu pokwitowania zatrzymania.,Przez zatrzymanie posiadanego prawa jazdy i wprowadzenie do Centralnej Ewidencji Kierowców informacji o zatrzymaniu prawa jazdy.,How is a national driving licence retained during a roadside inspection by a competent authority?,By entering details of the retention in the Central Register of Drivers and informing them if they do not have a document with them.,By introducing information on the retention of the driving licence into the Central Register of Drivers and issue of an retention receipt to the driver.,By retaining the driving licence and entering information on the retention of the driving licence into the Central Register of Drivers.,Auf welche Weise erfolgt der Einbehalt des im Inland ausgestellten Führerscheins?,"Durch die Eintragung der Information über den Einbehalt ins Zentrale Fahrerregister und die Mitteilung dieser Sache, wenn er kein Dokument bei sich hat.",Durch die Eintragung der Information ins Zentrale Fahrerregister und Ausstellung einer Einbehaltsquittung an den Fahrer.,Durch Einbehalt des Führerscheins und durch die Eintragung der Information über den Einbehalt ins Zentrale Fahrerregister.,B,,SPECJALISTYCZNY,2,"A,B,C,D",C7,,,,,,,,
11011,"Czy masz obowiązek zwrócić zatrzymane prawo jazdy do urzędu, który wydał dokument, jeśli podczas kontroli drogowej nie miałeś go przy sobie?","Nie, ponieważ wystarczy, że fakt ten jest odnotowany w Centralnej Ewidencji Kierowców.","Tak, jeżeli podczas kontroli nie miałeś przy sobie ważnego zaświadczenia z badania technicznego pojazdu wyposażonego w blokadę alkoholową.","Tak, jeżeli zatrzymanie prawa jazdy nastąpiło z powodu przekroczenia dozwolonej prędkości na obszarze zabudowanym o więcej niż 50 km/h.",Are you obliged to return the withheld driving licence to the authority that issued the document if you did not have it with you during the roadside inspection?,"No, because it suffices that the information is recorded in the Central Register of Drivers.","Yes, if you did not have with you during the inspection a valid technical inspection document of a vehicle fitted with an alcohol interlock.","Yes, if the driving licence was withheld for exceeding the speed limit in a built-up area by more than 50 km/h.","Sollen Sie den einbehaltenen Führerschein an das Amt zurückgeben, welches das Dokument ausstellte, falls Sie das Dokument während der Verkehrskontrolle nicht bei sich hatten?","Nein, es reicht aus, dass diese Tatsache im Zentralen Fahrerregister vermerkt ist.","Ja, soweit Sie bei der Kontrolle keine gültige Bescheinigung über die technische Untersuchung eines mit einer Alkoholblockade ausgestatteten Fahrzeugs hatten.","Ja, soweit der Einbehalt wegen der Geschwindigkeitsüberschreitung in geschlossener Ortschaft um mehr als 50 km/h erfolgte.",C,,SPECJALISTYCZNY,2,"A,B,C,D",C7,,,,,,,,
11012,W jakim przypadku starosta wydaje decyzję administracyjną o zatrzymaniu prawa jazdy?,W przypadku przekroczenia punktów karnych w liczbie 24 i nie przedstawienia zaświadczenia w wymaganym terminie o ukończeniu kursu reedukacyjnego.,Jeżeli kierowca otrzymał 24 punkty karne za naruszenie przepisów ruchu drogowego.,Jeżeli kierowca otrzymał 20 punktów karnych w ciągu pierwszego roku od otrzymania po raz pierwszy prawa jazdy za naruszenie przepisów ruchu drogowego.,In what case does the starost issue an administrative decision to retain the driving licence?,In the event of exceeding the 24 penalty points and failure to present a proof of completion of the re-education course within the specified deadline.,If the driver has received 24 penalty points for a traffic violation.,If the driver has received 20 penalty points for the first time for violating road traffic regulations within the first year of receiving a driving licence.,In welchem Fall stellt der Landrat einen Verwaltungsbescheid über den Einbehalt des Führerscheins aus?,Im Falle der Überschreitung der Strafpunktenanzahl 24 und wegen der Nichtvorlage einer Bescheinigung über den Abschluss eines Nachbildungskurses.,Falls der Fahrer 24 Punkte für die Verstöße gegen die Straßenverkehrsvorschriften erhielt.,Falls der Fahrer 20 Strafpunkte im ersten Jahr nach dem ersten Erhalt des Führerscheins für die Verstöße gegen die Straßenverkehrsvorschriften erhielt.,A,,SPECJALISTYCZNY,2,"A,B,C,D",C7,,,,,,,,
11013,"W jakim przypadku należy uzyskać pozytywny wynik z kontrolnego sprawdzenia kwalifikacji, aby otrzymać zwrot zatrzymanego prawa jazdy?",Jeżeli od dnia zatrzymania prawa jazdy upłynął okres przekraczający 1 rok.,Jeżeli od dnia zatrzymania prawa jazdy upłynął okres przekraczający 6 miesięcy.,W każdym przypadku po zatrzymaniu prawa jazdy.,In what case should a positive result of the qualification review be obtained to reclaim a withheld driving licence?,If a period of more than 1 year has elapsed since the date of retention of the driving licence.,If a period of more than 6 months has elapsed since the date of retention of the driving licence.,"In any case, upon retention of the driving licence.","In welchem Fall soll man ein positives Ergebnis von der Qualifikationsprüfung erreichen, um den einbehaltenen Führerschein wieder zu bekommen?",Falls vom Einbehaltstag des Führerscheins ein längerer Zeitraum als 1 Jahr abgelaufen ist.,Falls vom Einbehaltstag des Führerscheins ein Zeitraum über 6 Monate abgelaufen ist.,In jedem Fall nach dem Einbehalt des Führerscheins.,A,,SPECJALISTYCZNY,2,"A,B,C,D",C7,,,,,,,,
11014,W której z wymienionych sytuacji potwierdzenie zatrzymania prawa jazdy uprawnia do kierowania pojazdem w ciągu 7 dni?,Gdy upłynął termin ważności prawa jazdy.,W przypadku przekroczenia przez kierującego 24 punktów za naruszenie przepisów ruchu drogowego w okresie 5 lat od wydania skierowania na kurs reedukacyjny.,Gdy wobec kierującego wydane zostało postanowienie o zatrzymaniu prawa jazdy.,In which of these situations does confirmation of the retention of a driving licence entitle you to drive for 7 days?,Upon expiry of the driving licence.,In case the driver exceeds 24 traffic regulations points within 5 years from the referral to the re-education course.,Where a decision has been taken to withhold the driver's licence.,In welchen von den genannten Situationen berechtigt die Einbehaltsquittung des Führerscheins zum Fahrzeugführen innerhalb von 7 Tagen?,Wenn die Führerscheingültigkeit abgelaufen ist.,Falls der Fahrer 24 Punkte für die Verstöße im Straßenverkehr innerhalb von 5 Jahren von der Weisung zum Nachbildungskurs überschritten hat.,Wenn gegenüber dem Fahrer ein Führerscheineinbehalt beschlossen wurde.,A,,SPECJALISTYCZNY,2,"A,B,C,D",C7,,,,,,,,
11016,W jakich przypadkach organ upoważniony do kontroli drogowej może zatrzymać kierującemu pojazdem prawo jazdy?,W przypadku ujawnienia czynu polegającego na przekroczeniu dozwolonej prędkości na obszarze zabudowanym o więcej niż 50 km/h od dozwolonej.,W przypadku ujawnienia czynu polegającego na dwukrotnym przekroczeniu dozwolonej prędkości na obszarze zabudowanym o więcej niż 30 km/h.,W przypadku ujawnienia czynu polegającego na przekroczeniu dozwolonej prędkości w obszarze zabudowanym o więcej niż 30 km/h.,Under what circumstances can a competent body authorised to conduct roadside inspections withhold a driver's driving licence?,Where there is evidence of exceeding the speed limit in a built-up area by more than 50 km/h.,Where there is evidence of exceeding the speed limit twice in a built-up area by more than 30 km/h.,Where there is evidence of exceeding the speed limit in a built-up area by more than 30 km/h.,"In welchen Situationen darf das zur Verkehrskontrolle berechtigte Organ den Führerschein einem Fahrer einbehalten?

","Falls eine Tat ermittelt wurde, die auf der Geschwindigkeitsüberschreitung in geschlossener Ortschaft um mehr als 50 km/h über die zugelassene Geschwindigkeit beruht.","Falls eine Tat ermittelt wurde, die auf einer zweimaligen Geschwindigkeitsüberschreitung in geschlossener Ortschaft um mehr als 30 km/h über die zugelassene Geschwindigkeit beruht.","Falls eine Tat ermittelt wurde, die auf der Geschwindigkeitsüberschreitung in geschlossener Ortschaft um mehr als 30 km/h über die zugelassene Geschwindigkeit beruht.",A,,SPECJALISTYCZNY,2,"A,B,C,D",C7,,,,,,,,
11017,"Na jak długo zostanie zatrzymane prawo jazdy kierowcy, który przekroczył prędkość o więcej niż 50 km/h na obszarze zabudowanym?",Na 3 miesięce.,Na 6 miesięcy.,Na 1 miesiąc.,For how long will the driving licence of a driver who has exceeded the speed limit by more than 50 km/h in a built-up area be retained?,For 3 months.,For 6 months.,For 1 month.,"Für wie lange wird der Führerschein eines Fahrers einbehalten, der die zulässige Höchstgeschwindigkeit in geschlossener Ortschaft um mehr als 50 km/h überschritt?",Für 3 Monate.,Für 6 Monate.,Für 1 Monat.,A,,SPECJALISTYCZNY,2,"A,B,C,D",C7,,,,,,,,
11018,Na jak długo pokwitowanie zatrzymania prawa jazdy za przekroczenie dozwolonej prędkości na obszarze zabudowanym o więcej niż 50 km/h uprawnia do kierowania pojazdem?,Przez okres 24 godzin od chwili zatrzymania prawa jazdy. ,Przez okres 7 dni od chwili zatrzymania prawa jazdy.,Przez okres 72 godzin od chwili zatrzymania prawa jazdy.,For how long does a driving licence retention receipt for exceeding the speed limit in a built-up area by more than 50 km/h entitle one to drive?,For a period of 24 hours from the moment the licence is withheld.,For 7 days from the date the licence is withheld.,For 72 hours from the moment the licence is withheld.,Für wie lange berechtigt die Einbehaltsquittung eines Führerscheins für die Überschreitung der zulässigen Höchstgeschwindigkeit in geschlossener Ortschaft um mehr als 50 km/h zur Führung eines Fahrzeugs?,Innerhalb von 24 Stunden vom Einbehalt des Führerscheins.,Innerhalb von 7 Tagen vom Einbehalt des Führerscheins.,Innerhalb von 72 Stunden vom Einbehalt des Führerscheins.,A,,SPECJALISTYCZNY,2,"A,B,C,D",C7,,,,,,,,
11019,"Jak długo pokwitowanie zatrzymania prawa jazdy za przekroczenie dozwolonej prędkości na obszarze zabudowanym o więcej niż 50 km/h, uprawnia do kierowania pojazdem?",Przez okres 7 dni od chwili zatrzymania.,Przez okres 24 godzin od chwili zatrzymania.,Tylko na czas pozwalający dojechać do miejsca docelowego.,How long does a driving licence retention receipt for exceeding the speed limit in a built-up area by more than 50 km/h entitle one to drive?,For 7 days from the date of retention.,For 24 hours from the moment of retention.,Only for the time needed to get to your destination.,Für wie lange berechtigt die Einbehaltsquittung eines Führerscheins für die Überschreitung der zulässigen Höchstgeschwindigkeit in geschlossener Ortschaft um mehr als 50 km/h zur Führung eines Fahrzeugs?,Für 7 Tage vom Einbehalt des Führerscheins.,Für 24 Stunden vom Einbehalt des Führerscheins.,Nur für die Zeit bis zur Ankunft zum Fahrtziel.,B,,SPECJALISTYCZNY,2,"A,B,C,D",C7,,,,,,,,
